event_date,predicted_sentiment,count
2020-01-01,neutral,172
2020-01-22,neutral,2
2020-02-27,neutral,1
2020-04-04,neutral,1
2020-04-06,neutral,2
2020-04-23,neutral,1
2020-04-26,neutral,1
2020-05-24,neutral,1
2020-06-06,neutral,1
2020-07-17,neutral,1
2020-09-13,neutral,1
2020-09-25,neutral,1
2020-10-17,neutral,1
2020-10-23,neutral,1
2020-10-31,neutral,1
2020-12-09,neutral,1
2020-12-11,neutral,1
2021-01-01,neutral,179
2021-01-24,neutral,1
2021-04-04,neutral,1
2021-04-05,neutral,1
2021-04-28,neutral,1
2021-05-04,neutral,1
2021-06-04,neutral,1
2021-06-25,neutral,1
2021-07-26,neutral,1
2021-08-17,neutral,1
2021-09-02,neutral,1
2021-09-16,neutral,1
2021-10-07,neutral,1
2021-10-15,neutral,1
2021-11-29,neutral,1
2021-12-05,neutral,1
2022-01-01,negative,18
2022-01-01,neutral,163
2022-01-21,neutral,1
2022-01-24,neutral,1
2022-02-19,neutral,1
2022-03-01,neutral,2
2022-12-21,neutral,2
2023-01-01,neutral,121
2024-01-01,neutral,114
2025-01-01,neutral,118
2025-12-08,neutral,1
